,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,15,シホノスペランツァ,牡3,54,松山弘平,2:38.4,,4.3,2,478(+6),[西] 寺島良
1,2,6,10,エイカイファントム,牡4,57,武豊,2:39.0,3.1/2,3.9,1,490(0),[西] 藤原英昭
2,3,2,3,ロックバウンド,牡3,53,小沢大仁,2:39.0,アタマ,23.9,8,456(-8),[西] 松永昌博
3,4,8,14,カルトゥーシュ,牡3,50,今村聖奈,2:39.1,3/4,6.2,4,466(-4),[西] 松下武士
4,5,5,8,ミステリーウェイ,セ4,57,和田竜二,2:39.1,ハナ,5.2,3,492(+8),[西] 小林真也
5,6,4,7,セレブレイトガイズ,牡3,54,福永祐一,2:39.6,3,12.7,6,488(+10),[西] 友道康夫
6,7,2,2,ロードマゼラン,牡3,54,西村淳也,2:39.9,1.3/4,21.2,7,490(-2),[西] 奥村豊
7,8,3,4,ロックグラス,セ5,57,秋山真一,2:40.1,1.1/4,70.9,11,462(+2),[西] 谷潔
8,9,5,9,デュアルレインボー,牡3,54,団野大成,2:40.2,3/4,46.9,10,500(+4),[西] 清水久詞
9,10,7,12,ピーニャ,牡4,57,中井裕二,2:40.2,アタマ,73.0,12,488(-2),[西] 中内田充
10,11,6,11,ワンダークローバー,牡4,57,藤懸貴志,2:40.3,クビ,29.7,9,476(-12),[西] 森田直行
11,12,3,5,リヤンソウル,牝3,49,永島まな,2:40.4,クビ,139.1,15,444(+6),[西] 佐々木晶
12,13,4,6,ケイアイスペース,セ3,52,松本大輝,2:41.3,5,82.7,13,502(+10),[西] 西村真幸
13,14,7,13,ホウオウフウジン,牡3,54,坂井瑠星,2:43.0,10,7.2,5,524(+2),[西] 矢作芳人
14,15,1,1,アクティブバイオ,牡3,51,角田大河,2:43.4,2.1/2,103.9,14,468(-10),[西] 今野貞一
